===== Starting battle of <SternBot> vs <CleanUpOnAisleSix> with memory tape size: 19 =====

[ 128 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-28 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-29 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-29 | 0 | 0 | 0 | 0 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-30 | 0 | 0 | 0 | 0 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-30 | 0 | 0 | 0 | 0 | 128 ]
[ -127< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-31 | 0 | 0 | 0 | 0 | 128 ]
[ -127< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-31 | 0 | 0 | 0 | 0 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-32 | 0 | 0 | 0 | 0 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-32 | 0 | 0 | 0 | 0 | 128 ]
[ 127< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-33 | 0 | 0 | 0 | 0 | 128 ]
[ 127< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-33 | 0 | 0 | 0 | 0 | 128 ]
[ 126< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-34 | 0 | 0 | 0 | 0 | 128 ]
[ 126< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-34 | 0 | 0 | 0 | 0 | 128 ]
[ 125< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-35 | 0 | 0 | 0 | 0 | 128 ]
[ 125< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-35 | 0 | 0 | 0 | 0 | 128 ]
[ 124< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-36 | 0 | 0 | 0 | 0 | 128 ]
[ 124< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-36 | 0 | 0 | 0 | 0 | 128 ]
[ 123< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-37 | 0 | 0 | 0 | 0 | 128 ]
[ 123< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-37 | 0 | 0 | 0 | 0 | 128 ]
[ 122< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-38 | 0 | 0 | 0 | 0 | 128 ]
[ 122< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-38 | 0 | 0 | 0 | 0 | 128 ]
[ 121< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-39 | 0 | 0 | 0 | 0 | 128 ]
[ 121< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-39 | 0 | 0 | 0 | 0 | 128 ]
[ 120< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-40 | 0 | 0 | 0 | 0 | 128 ]
[ 120< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-40 | 0 | 0 | 0 | 0 | 128 ]
[ 119< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-41 | 0 | 0 | 0 | 0 | 128 ]
[ 119< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-41 | 0 | 0 | 0 | 0 | 128 ]
[ 118< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-42 | 0 | 0 | 0 | 0 | 128 ]
[ 118< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-42 | 0 | 0 | 0 | 0 | 128 ]
[ 117< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-43 | 0 | 0 | 0 | 0 | 128 ]
[ 117< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-43 | 0 | 0 | 0 | 0 | 128 ]
[ 116< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-44 | 0 | 0 | 0 | 0 | 128 ]
[ 116< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-44 | 0 | 0 | 0 | 0 | 128 ]
[ 115< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-45 | 0 | 0 | 0 | 0 | 128 ]
[ 115< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-45 | 0 | 0 | 0 | 0 | 128 ]
[ 114< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-46 | 0 | 0 | 0 | 0 | 128 ]
[ 114< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-46 | 0 | 0 | 0 | 0 | 128 ]
[ 113< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-47 | 0 | 0 | 0 | 0 | 128 ]
[ 113< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-47 | 0 | 0 | 0 | 0 | 128 ]
[ 112< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-48 | 0 | 0 | 0 | 0 | 128 ]
[ 112< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-48 | 0 | 0 | 0 | 0 | 128 ]
[ 111< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-49 | 0 | 0 | 0 | 0 | 128 ]
[ 111< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-49 | 0 | 0 | 0 | 0 | 128 ]
[ 110< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-50 | 0 | 0 | 0 | 0 | 128 ]
[ 110< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-50 | 0 | 0 | 0 | 0 | 128 ]
[ 109< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-51 | 0 | 0 | 0 | 0 | 128 ]
[ 109< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-51 | 0 | 0 | 0 | 0 | 128 ]
[ 108< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-52 | 0 | 0 | 0 | 0 | 128 ]
[ 108< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-52 | 0 | 0 | 0 | 0 | 128 ]
[ 107< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-53 | 0 | 0 | 0 | 0 | 128 ]
[ 107< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-53 | 0 | 0 | 0 | 0 | 128 ]
[ 106< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-54 | 0 | 0 | 0 | 0 | 128 ]
[ 106< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-54 | 0 | 0 | 0 | 0 | 128 ]
[ 105< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-55 | 0 | 0 | 0 | 0 | 128 ]
[ 105< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-55 | 0 | 0 | 0 | 0 | 128 ]
[ 104< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-56 | 0 | 0 | 0 | 0 | 128 ]
[ 104< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-56 | 0 | 0 | 0 | 0 | 128 ]
[ 103< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-57 | 0 | 0 | 0 | 0 | 128 ]
[ 103< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-57 | 0 | 0 | 0 | 0 | 128 ]
[ 102< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-58 | 0 | 0 | 0 | 0 | 128 ]
[ 102< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-58 | 0 | 0 | 0 | 0 | 128 ]
[ 101< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-59 | 0 | 0 | 0 | 0 | 128 ]
[ 101< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-59 | 0 | 0 | 0 | 0 | 128 ]
[ 100< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-60 | 0 | 0 | 0 | 0 | 128 ]
[ 100< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-60 | 0 | 0 | 0 | 0 | 128 ]
[ 99< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-61 | 0 | 0 | 0 | 0 | 128 ]
[ 99< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-61 | 0 | 0 | 0 | 0 | 128 ]
[ 98< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-62 | 0 | 0 | 0 | 0 | 128 ]
[ 98< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-62 | 0 | 0 | 0 | 0 | 128 ]
[ 97< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-63 | 0 | 0 | 0 | 0 | 128 ]
[ 97< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-63 | 0 | 0 | 0 | 0 | 128 ]
[ 96< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-64 | 0 | 0 | 0 | 0 | 128 ]
[ 96< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-64 | 0 | 0 | 0 | 0 | 128 ]
[ 95< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-65 | 0 | 0 | 0 | 0 | 128 ]
[ 95< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-65 | 0 | 0 | 0 | 0 | 128 ]
[ 94< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-66 | 0 | 0 | 0 | 0 | 128 ]
[ 94< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-66 | 0 | 0 | 0 | 0 | 128 ]
[ 93< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-67 | 0 | 0 | 0 | 0 | 128 ]
[ 93< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-67 | 0 | 0 | 0 | 0 | 128 ]
[ 92< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-68 | 0 | 0 | 0 | 0 | 128 ]
[ 92< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-68 | 0 | 0 | 0 | 0 | 128 ]
[ 91< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-69 | 0 | 0 | 0 | 0 | 128 ]
[ 91< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-69 | 0 | 0 | 0 | 0 | 128 ]
[ 90< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-70 | 0 | 0 | 0 | 0 | 128 ]
[ 90< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-70 | 0 | 0 | 0 | 0 | 128 ]
[ 89< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-71 | 0 | 0 | 0 | 0 | 128 ]
[ 89< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-71 | 0 | 0 | 0 | 0 | 128 ]
[ 88< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-72 | 0 | 0 | 0 | 0 | 128 ]
[ 88< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-72 | 0 | 0 | 0 | 0 | 128 ]
[ 87< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-73 | 0 | 0 | 0 | 0 | 128 ]
[ 87< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-73 | 0 | 0 | 0 | 0 | 128 ]
[ 86< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-74 | 0 | 0 | 0 | 0 | 128 ]
[ 86< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-74 | 0 | 0 | 0 | 0 | 128 ]
[ 85< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-75 | 0 | 0 | 0 | 0 | 128 ]
[ 85< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-75 | 0 | 0 | 0 | 0 | 128 ]
[ 84< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-76 | 0 | 0 | 0 | 0 | 128 ]
[ 84< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-76 | 0 | 0 | 0 | 0 | 128 ]
[ 83< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-77 | 0 | 0 | 0 | 0 | 128 ]
[ 83< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-77 | 0 | 0 | 0 | 0 | 128 ]
[ 82< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-78 | 0 | 0 | 0 | 0 | 128 ]
[ 82< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-78 | 0 | 0 | 0 | 0 | 128 ]
[ 81< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-79 | 0 | 0 | 0 | 0 | 128 ]
[ 81< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-79 | 0 | 0 | 0 | 0 | 128 ]
[ 80< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-80 | 0 | 0 | 0 | 0 | 128 ]
[ 80< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-80 | 0 | 0 | 0 | 0 | 128 ]
[ 79< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-81 | 0 | 0 | 0 | 0 | 128 ]
[ 79< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-81 | 0 | 0 | 0 | 0 | 128 ]
[ 78< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-82 | 0 | 0 | 0 | 0 | 128 ]
[ 78< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-82 | 0 | 0 | 0 | 0 | 128 ]
[ 77< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-83 | 0 | 0 | 0 | 0 | 128 ]
[ 77< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-83 | 0 | 0 | 0 | 0 | 128 ]
[ 76< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-84 | 0 | 0 | 0 | 0 | 128 ]
[ 76< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-84 | 0 | 0 | 0 | 0 | 128 ]
[ 75< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-85 | 0 | 0 | 0 | 0 | 128 ]
[ 75< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-85 | 0 | 0 | 0 | 0 | 128 ]
[ 74< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-86 | 0 | 0 | 0 | 0 | 128 ]
[ 74< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-86 | 0 | 0 | 0 | 0 | 128 ]
[ 73< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-87 | 0 | 0 | 0 | 0 | 128 ]
[ 73< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-87 | 0 | 0 | 0 | 0 | 128 ]
[ 72< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-88 | 0 | 0 | 0 | 0 | 128 ]
[ 72< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-88 | 0 | 0 | 0 | 0 | 128 ]
[ 71< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-89 | 0 | 0 | 0 | 0 | 128 ]
[ 71< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-89 | 0 | 0 | 0 | 0 | 128 ]
[ 70< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-90 | 0 | 0 | 0 | 0 | 128 ]
[ 70< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-90 | 0 | 0 | 0 | 0 | 128 ]
[ 69< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-91 | 0 | 0 | 0 | 0 | 128 ]
[ 69< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-91 | 0 | 0 | 0 | 0 | 128 ]
[ 68< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-92 | 0 | 0 | 0 | 0 | 128 ]
[ 68< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-92 | 0 | 0 | 0 | 0 | 128 ]
[ 67< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-93 | 0 | 0 | 0 | 0 | 128 ]
[ 67< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-93 | 0 | 0 | 0 | 0 | 128 ]
[ 66< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-94 | 0 | 0 | 0 | 0 | 128 ]
[ 66< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-94 | 0 | 0 | 0 | 0 | 128 ]
[ 65< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-95 | 0 | 0 | 0 | 0 | 128 ]
[ 65< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-95 | 0 | 0 | 0 | 0 | 128 ]
[ 64< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-96 | 0 | 0 | 0 | 0 | 128 ]
[ 64< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-96 | 0 | 0 | 0 | 0 | 128 ]
[ 63< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-97 | 0 | 0 | 0 | 0 | 128 ]
[ 63< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-97 | 0 | 0 | 0 | 0 | 128 ]
[ 62< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-98 | 0 | 0 | 0 | 0 | 128 ]
[ 62< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-98 | 0 | 0 | 0 | 0 | 128 ]
[ 61< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-99 | 0 | 0 | 0 | 0 | 128 ]
[ 61< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-99 | 0 | 0 | 0 | 0 | 128 ]
[ 60< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-100 | 0 | 0 | 0 | 0 | 128 ]
[ 60< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-100 | 0 | 0 | 0 | 0 | 128 ]
[ 59< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-101 | 0 | 0 | 0 | 0 | 128 ]
[ 59< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-101 | 0 | 0 | 0 | 0 | 128 ]
[ 58< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-102 | 0 | 0 | 0 | 0 | 128 ]
[ 58< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-102 | 0 | 0 | 0 | 0 | 128 ]
[ 57< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-103 | 0 | 0 | 0 | 0 | 128 ]
[ 57< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-103 | 0 | 0 | 0 | 0 | 128 ]
[ 56< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-104 | 0 | 0 | 0 | 0 | 128 ]
[ 56< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-104 | 0 | 0 | 0 | 0 | 128 ]
[ 55< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-105 | 0 | 0 | 0 | 0 | 128 ]
[ 55< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-105 | 0 | 0 | 0 | 0 | 128 ]
[ 54< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-106 | 0 | 0 | 0 | 0 | 128 ]
[ 54< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-106 | 0 | 0 | 0 | 0 | 128 ]
[ 53< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-107 | 0 | 0 | 0 | 0 | 128 ]
[ 53< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-107 | 0 | 0 | 0 | 0 | 128 ]
[ 52< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-108 | 0 | 0 | 0 | 0 | 128 ]
[ 52< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-108 | 0 | 0 | 0 | 0 | 128 ]
[ 51< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-109 | 0 | 0 | 0 | 0 | 128 ]
[ 51< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-109 | 0 | 0 | 0 | 0 | 128 ]
[ 50< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-110 | 0 | 0 | 0 | 0 | 128 ]
[ 50< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-110 | 0 | 0 | 0 | 0 | 128 ]
[ 49< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-111 | 0 | 0 | 0 | 0 | 128 ]
[ 49< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-111 | 0 | 0 | 0 | 0 | 128 ]
[ 48< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-112 | 0 | 0 | 0 | 0 | 128 ]
[ 48< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-112 | 0 | 0 | 0 | 0 | 128 ]
[ 47< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-113 | 0 | 0 | 0 | 0 | 128 ]
[ 47< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-113 | 0 | 0 | 0 | 0 | 128 ]
[ 46< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-114 | 0 | 0 | 0 | 0 | 128 ]
